Record_ID,Paper_ID,Title,Authors,Year,Publication_Source,DOI_or_URL,Publication_Type,Abstract,Keywords,Thematic_Tags,RMP_Themes,RMP_Spatial_Themes,Method_Tags,Results_Summary,Data_Availability,Objective_I,Objective_II,Objective_III,Objective_IV,Objective_V,Objective_VI,Objective_VII,Objective_VIII,Objective_IX,Objective_X,Objective_XI,Management_zones,CCAMLR_Area,Monitoring_areas,Named_Features,Coordinates_Info,WKT_Geometry,Data_location,Research_start_date,Research_end_date,Temporal_Scale,Spatial_Scale,Proposing_party,Project_status,Funding_Source,Species_List,Primary_contact,CCAMLR_Objectives_Text
SYNTH_0001,SYN_001,Krill biomass distribution patterns in Antarctic marine ecosystems,Johnson AS; Williams BC; Chen DL,2018,Marine Ecology Progress Series,10.3354/meps12345,Journal article,"Antarctic krill (Euphausia superba) populations represent a critical component of Southern Ocean ecosystems. This study analyzed krill biomass distribution using acoustic surveys across multiple seasons from 2016-2017. We observed significant spatial heterogeneity with highest concentrations in polynya regions during summer months. Krill swarms showed strong associations with ice edge dynamics and water mass boundaries. Mean biomass estimates ranged from 2.1 to 15.7 g/m² across sampling stations.",Krill; Antarctic; Biomass; Acoustics; Southern Ocean; Marine ecology,6,6: Krill & silverfish population trends,Continental shelf/slope (GPZ/SRZ),Acoustic Methods; Field Sampling; Survey/Census,Quantified krill biomass distribution and seasonal patterns,Public (See article),1,0,1,0,1,1,0,1,0,0,0,GPZ,88.1,Marine Protected Area,"Antarctic Peninsula, Polynya Region",-76.5 -178.2,"POLYGON ((-76.0 -179.0, -76.0 -177.0, -77.0 -177.0, -77.0 -179.0, -76.0 -179.0))",See article,2016,2017,Multi-year,Zone-wide,USA,Complete,NSF; ANT,Euphausia superba,johnson@university.edu,"(i) conserve natural ecological structure | (iii) promote research | (v) large-scale ecosystem processes/areas | (vi) trophically dominant pelagic prey species | (viii) coastal/localized areas of particular ecosystem importance"
SYNTH_0002,SYN_002,Population genetics reveal connectivity across marine management zones,Martinez EF; Taylor GH; Anderson IJ,2019,Molecular Ecology,10.1111/mec.15432,Journal article,"Population genetic structure of Antarctic toothfish (Dissostichus mawsoni) was examined using microsatellite markers from samples collected across marine protected areas. Analysis of 347 individuals from 12 locations revealed significant population structure between northern seamounts and continental shelf populations. Gene flow patterns suggest larval dispersal connects research zone populations with those in protection zones. These findings have important implications for fisheries management and MPA design.",Population genetics; Toothfish; Antarctic; Fisheries; Marine Protected Area; Gene flow,8,8: Toothfish & predator distributions,Entire RSR,Genomic/Molecular; Field Sampling; Statistical Analysis,Identified population genetic structure and connectivity patterns,Restricted (Contact authors),1,1,1,1,0,0,0,1,1,0,0,GPZ SRZ,88.1,Marine Research Zone,"Continental Shelf, Seamounts, Research Zone",-77.2 -165.8,"POLYGON ((-76.5 -167.0, -76.5 -164.0, -78.0 -164.0, -78.0 -167.0, -76.5 -167.0))",Contact corresponding author,2017,2019,Multi-year,RSRMPA-wide,New Zealand,Complete,NIWA; Antarctic Research,Dissostichus mawsoni,martinez@niwa.co.nz,"(i) conserve natural ecological structure | (ii) scientific reference areas | (iii) promote research | (iv) representativeness of benthic and pelagic environments | (viii) coastal/localized areas of particular ecosystem importance | (ix) toothfish life cycle areas"
SYNTH_0003,SYN_003,Ice algae production supports early life stages of Antarctic silverfish,Lee KL; Robinson MN; Clark OP,2020,Polar Biology,10.1007/s00300-020-02678,Journal article,"Under-ice algal communities provide critical food resources for Antarctic silverfish (Pleuragramma antarcticum) larvae and juveniles in polar marine systems. Field sampling and laboratory feeding experiments demonstrated that ice algae contribute up to 67% of larval silverfish diet during winter months. Growth rates of juveniles fed ice algae were 23% higher than those fed phytoplankton-only diets. Results highlight the importance of sea ice habitat for silverfish recruitment success.",Antarctic silverfish; Ice algae; Recruitment; Sea ice; Larvae; Feeding ecology,12,12: Silverfish spawning & nursery factors,Continental shelf/slope (GPZ/SRZ),Field Sampling; Laboratory Analysis; Experimental,Demonstrated critical role of ice algae in silverfish early life stages,Public (Repository),1,1,1,0,0,1,0,1,0,0,0,GPZ,88.1,Marine Sound Research Area,"Marine Sound, Ice Edge, Northern Bay",-77.8 -166.7,"POLYGON ((-77.5 -167.5, -77.5 -165.5, -78.5 -165.5, -78.5 -167.5, -77.5 -167.5))",Data repository link provided,2018,2020,Multi-year,Zone-wide,Italy,Complete,PNRA; EU FP7,Pleuragramma antarcticum,lee@ogs.trieste.it,"(i) conserve natural ecological structure | (ii) scientific reference areas | (iii) promote research | (vi) trophically dominant pelagic prey species | (viii) coastal/localized areas of particular ecosystem importance"
SYNTH_0004,SYN_004,Penguin foraging behavior reveals marine productivity hotspots,Brown QR; Davis ST; Evans UV,2017,Animal Behaviour,10.1016/j.anbehav.2017.08.012,Journal article,"GPS tracking of 45 Adelie penguins (Pygoscelis adeliae) from Antarctic breeding sites revealed consistent foraging patterns targeting specific marine productivity zones. Penguins traveled up to 120 km from breeding colonies to access krill aggregations along the continental shelf break. Dive depth analysis showed 78% of foraging occurred between 40-80m depth, coinciding with deep water interfaces. These results identify critical foraging areas requiring protection.",Adelie penguin; Foraging behavior; GPS tracking; Antarctica; Marine productivity; Continental shelf,17,17: Seal & penguin foraging movements,Continental shelf/slope (GPZ/SRZ),Field Sampling; Tagging/Tracking; Statistical Analysis,Mapped critical penguin foraging areas and identified productivity hotspots,Public (See article),1,0,1,0,0,0,1,1,0,0,0,GPZ,88.1,Northern Bay Research Area,"Northern Bay, Continental Shelf Break",-74.7 -164.1,"POLYGON ((-74.5 -165.0, -74.5 -163.0, -75.5 -163.0, -75.5 -165.0, -74.5 -165.0))",See article,2015,2016,Multi-year,Zone-wide,Italy,Complete,PNRA,Pygoscelis adeliae,brown@univ.it,"(i) conserve natural ecological structure | (iii) promote research | (vii) key top predator foraging distributions | (viii) coastal/localized areas of particular ecosystem importance"
SYNTH_0005,SYN_005,Climate-driven changes in polynya formation and persistence,Thompson WX; Miller YZ; Garcia AB,2021,Journal of Climate,10.1175/JCLI-D-20-0845.1,Journal article,"Analysis of satellite data from 1979-2020 reveals significant changes in polynya dynamics in Antarctic marine systems. Polynya formation now occurs 12 days earlier and persists 18 days longer compared to the 1980s baseline. These changes are linked to strengthening katabatic winds and shifting atmospheric patterns. Modeling suggests continued expansion of ice-free periods under warming scenarios, with implications for marine ecosystem productivity and carbon cycling.",Polynya; Climate change; Sea ice; Antarctica; Satellite data,2,2: Physical & biological habitat changes,Entire RSR,Remote Sensing; Modeling; Statistical Analysis,Documented long-term changes in polynya dynamics and climate drivers,Public (Satellite data),0,1,1,0,1,0,0,0,0,0,1,GPZ,88.1,Marine Polynya Region,"Marine Polynya, Research Sound",-76.0 -178.5,"POLYGON ((-75.5 -180.0, -75.5 -177.0, -77.0 -177.0, -77.0 -180.0, -75.5 -180.0))",Publicly available satellite datasets,1979,2020,Decadal,RSRMPA-wide,USA,Complete,NASA; NOAA,Physical/Chemical study,thompson@nasa.gov,"(ii) scientific reference areas | (iii) promote research | (v) large-scale ecosystem processes/areas | (xi) climate change reference"
SYNTH_0006,SYN_006,Benthic community structure on Antarctic seamounts: endemic species discoveries,Wilson CD; Jackson EF; Ahmed GH,2018,Deep Sea Research Part I,10.1016/j.dsr.2018.05.003,Journal article,"ROV surveys of Antarctic seamounts (depth 400-1200m) documented rich benthic communities including 23 previously unknown species. Endemic species comprised 34% of the macro-invertebrate fauna, with particularly high diversity among hexactinellid sponges and stylasterid corals. Community composition differed significantly from continental shelf assemblages, supporting seamount biogeographic distinctiveness. Results emphasize the conservation value of seamount habitats within marine protected areas.",Seamount; Benthic ecology; Endemic species; ROV; Deep sea; Biodiversity,26,26: Endemic benthos on seamounts,Seamounts/Northern RSR,Field Sampling; ROV Operations; Taxonomic Analysis,Documented endemic benthic fauna and seamount biogeographic distinctiveness,Public (See article),1,1,1,1,0,0,0,0,0,1,0,GPZ SRZ,88.1,Northern Seamount Area,"Northern Seamount, Marine Research Zone",-72.1 -174.3,"POLYGON ((-71.8 -175.0, -71.8 -173.5, -72.5 -173.5, -72.5 -175.0, -71.8 -175.0))",See article,2016,2017,Multi-year,Zone-wide,USA,Complete,NSF; NOAA,Hexactinellida; Stylasteridae,wilson@whoi.edu,"(i) conserve natural ecological structure | (ii) scientific reference areas | (iii) promote research | (iv) representativeness of benthic and pelagic environments | (x) rare or vulnerable marine habitats"
SYNTH_0007,SYN_007,Krill fishing impacts on predator populations in marine research zones,Kumar IJ; Petersen KL; Nakamura MN,2019,Fisheries Oceanography,10.1111/fog.12456,Journal article,"Analysis of predator abundance and krill fishing effort in marine research zones from 2010-2018 shows negative correlations between fishing intensity and Adelie penguin breeding success. Penguin colonies within 50km of high fishing effort areas showed 23% lower chick fledging rates. Crabeater seal populations also declined in areas of intensive krill harvesting. Results suggest need for spatial-temporal fishing restrictions to protect predator foraging areas.",Krill fishing; Predator interactions; Adelie penguin; Crabeater seal; Fisheries management; Antarctica,7,7: Prey availability effects on predators,KRZ/Northwestern RSR,Field Sampling; Fisheries Data; Statistical Analysis,Demonstrated negative impacts of krill fishing on marine predators,Public (Fisheries reports),1,0,1,0,0,1,1,1,0,0,0,GPZ KRZ,88.1,Northwestern Marine Zone,"Krill Research Zone, Northwestern Marine Area",-73.2 -176.8,"POLYGON ((-72.8 -178.0, -72.8 -175.5, -74.0 -175.5, -74.0 -178.0, -72.8 -178.0))",Fisheries database,2010,2018,Multi-year,Zone-wide,Multiple,Complete,CCAMLR; National programs,Euphausia superba; Pygoscelis adeliae; Lobodon carcinophaga,kumar@ccamlr.org,"(i) conserve natural ecological structure | (iii) promote research | (vi) trophically dominant pelagic prey species | (vii) key top predator foraging distributions | (viii) coastal/localized areas of particular ecosystem importance"
SYNTH_0008,SYN_008,Ocean acidification effects on Antarctic pteropod shell formation,Rodriguez OP; Singh QR; Taylor ST,2020,Global Change Biology,10.1111/gcb.15234,Journal article,"Laboratory and field studies examined ocean acidification impacts on the Antarctic pteropod Limacina helicina antarctica in marine waters. Shell dissolution rates increased by 35% under projected 2050 CO2 levels. Field populations showed 15% thinner shells in areas with naturally elevated CO2. Reduced shell integrity affects pteropod survival and their role as prey for fish and seabirds. Results highlight vulnerability of calcifying organisms to changing ocean chemistry.",Ocean acidification; Pteropod; Shell dissolution; Climate change; Calcification; Antarctica,2,2: Physical & biological habitat changes,Entire RSR,Laboratory Analysis; Field Sampling; Experimental,Quantified ocean acidification impacts on pteropod calcification,Public (See article),1,0,1,0,1,0,0,0,0,0,1,GPZ,88.1,Western Marine Zone,"Western Marine Area, Central Marine Zone",-75.8 -172.4,"POLYGON ((-75.5 -174.0, -75.5 -170.5, -76.5 -170.5, -76.5 -174.0, -75.5 -174.0))",See article,2017,2019,Multi-year,Zone-wide,Norway,Complete,Research Council of Norway,Limacina helicina antarctica,rodriguez@unis.no,"(i) conserve natural ecological structure | (iii) promote research | (v) large-scale ecosystem processes/areas | (xi) climate change reference"
SYNTH_0009,SYN_009,Microbial diversity in Antarctic sea ice: novel psychrophilic bacteria,Chen UV; O'Brien WX; Patel YZ,2018,Environmental Microbiology,10.1111/1462-2920.14278,Journal article,"Metagenomic analysis of Antarctic sea ice revealed exceptionally diverse bacterial communities including 47 previously unknown psychrophilic species. Dominant taxa included Flavobacteriaceae and Rhodobacteraceae families adapted to sub-zero temperatures. Novel cold-shock proteins and antifreeze compounds were identified with potential biotechnology applications. Sea ice bacterial production contributes significantly to under-ice food webs supporting higher trophic levels.",Sea ice; Psychrophilic bacteria; Metagenomics; Microbial diversity; Antarctica; Cold adaptation,3,3: Functional ecology processes,Continental shelf/slope (GPZ/SRZ),Genomic/Molecular; Laboratory Analysis; Field Sampling,Characterized diverse psychrophilic bacterial communities and novel adaptations,Public (GenBank),1,0,1,1,1,0,0,1,0,0,0,GPZ,88.1,Marine Sound Research Zone,"Marine Sound, Research Bay, Sea Ice",-77.6 -166.1,"POLYGON ((-77.3 -167.0, -77.3 -165.0, -78.0 -165.0, -78.0 -167.0, -77.3 -167.0))",GenBank accession numbers provided,2016,2017,Multi-year,Zone-wide,Australia,Complete,Australian Antarctic Division,Flavobacteriaceae; Rhodobacteraceae,chen@aad.gov.au,"(i) conserve natural ecological structure | (iii) promote research | (iv) representativeness of benthic and pelagic environments | (v) large-scale ecosystem processes/areas | (viii) coastal/localized areas of particular ecosystem importance"
SYNTH_0010,SYN_010,Whale distribution patterns reveal important feeding areas,Anderson AB; Kim CD; Lopez EF,2017,Marine Mammal Science,10.1111/mms.12445,Journal article,"Satellite tracking of 23 minke whales and 15 killer whales identified consistent feeding aggregations in specific marine regions. Whales concentrated along the continental shelf break and in areas of enhanced krill biomass. Killer whales showed preference for toothfish-rich areas, while minke whales targeted krill swarms. Overlap with fisheries operations suggests need for spatial management to reduce competition for prey resources.",Whale distribution; Satellite tracking; Feeding behavior; Killer whale; Minke whale; Fisheries overlap,7,7: Prey availability effects on predators,Continental shelf/slope (GPZ/SRZ),Tagging/Tracking; Field Sampling; Statistical Analysis,Identified critical whale feeding areas and fisheries interaction zones,Restricted (Protected species data),1,0,1,0,0,0,1,1,0,0,0,GPZ SRZ,88.1,Southwestern Marine Zone,"Continental Shelf Break, Southwestern Marine Area",-76.8 -170.2,"POLYGON ((-76.0 -172.0, -76.0 -168.0, -78.0 -168.0, -78.0 -172.0, -76.0 -172.0))",Restricted data - contact authors,2014,2016,Multi-year,Zone-wide,USA,Complete,NOAA; Marine Mammal Commission,Balaenoptera bonaerensis; Orcinus orca,anderson@noaa.gov,"(i) conserve natural ecological structure | (iii) promote research | (vii) key top predator foraging distributions | (viii) coastal/localized areas of particular ecosystem importance"
